,Name,Transaction.Date,Owner,Ticker,Asset.Name,Asset.Type,Type,Amount,Comment
1, Sheldon Whitehouse,11/25/2014,Self,M,"Macy's, Inc. (NYSE)",Stock,Purchase,1001,--
2, Sheldon Whitehouse,12/18/2014,Self,BEAV,B/E Aerospace Inc. (NASDAQ),Stock,Sale (Full),15001,--
3, Sheldon Whitehouse,12/18/2014,Self,KORS,Michael Kors Holdings Limited (NYSE),Stock,Sale (Partial),1001,--
4, Sheldon Whitehouse,12/18/2014,Self,T,"AT&T, Inc. (NYSE)",Stock,Purchase,1001,--
5, Sheldon Whitehouse,12/18/2014,Self,KEYS,"Keysight Technologies, Inc. (NYSE)",Stock,Sale (Full),1001,Agilent Tech common stock completed a spinoff on 10/22/14 to Keysight Tech
6, Sheldon Whitehouse,12/18/2014,Self,ABBV,AbbVie Inc. (NYSE),Stock,Purchase,1001,--
7, Sheldon Whitehouse,12/18/2014,Self,SSYS,Stratasys Ltd. (NASDAQ),Stock,Sale (Full),1001,--
8, Sheldon Whitehouse,12/18/2014,Self,HYH,"Halyard Health, Inc. (NYSE)",Stock,Sale (Full),1001,KMB completed a spinoff of its health care business business now known as HYH on 11/01/14
9, Sheldon Whitehouse,12/18/2014,Self,AMGN,Amgen Inc. (NASDAQ),Stock,Purchase,15001,--
10, Sheldon Whitehouse,11/25/2014,Joint,PRU,"Prudential Financial, Inc. (NYSE)",Stock,Purchase,1001,--
11, Sheldon Whitehouse,11/25/2014,Joint,PCAR,PACCAR Inc. (NASDAQ),Stock,Purchase,1001,--
12, Sheldon Whitehouse,12/18/2014,Joint,CMRE,Costamare Inc. (NYSE),Stock,Purchase,1001,--
13, Sheldon Whitehouse,11/25/2014,Child,IBM,International Business Machines Corporation (NYSE),Stock,Sale (Partial),1001,--
14, Sheldon Whitehouse,11/25/2014,Child,PCAR,PACCAR Inc. (NASDAQ),Stock,Purchase,1001,--
15, Sheldon Whitehouse,12/18/2014,Child,KORS,Michael Kors Holdings Limited (NYSE),Stock,Sale (Partial),1001,--
16, Sheldon Whitehouse,12/18/2014,Child,T,"AT&T, Inc. (NYSE)",Stock,Purchase,1001,--
17, Sheldon Whitehouse,12/18/2014,Child,ORCL,Oracle Corporation (NYSE),Stock,Purchase,1001,--
18, Sheldon Whitehouse,12/18/2014,Spouse,TJX,"The TJX Companies, Inc. (NYSE)",Stock,Purchase,1001,--
6295, A. Mitchell McConnell Jr.,3/5/2019,Spouse,WFC,Wells Fargo & Company,Stock,Purchase,1001,Dividend Reinvestment
6296, A. Mitchell McConnell Jr.,9/7/2017,Spouse,WFC,Wells Fargo & Company,Stock,Purchase,1001,Dividend Reinvestment
